,count,min,max
ceiling_height,4050000.0,2.3,10.0
building_xlen,4050000.0,1.0,40.0
wwr,4050000.0,0.0,0.99
vert_shading,4050000.0,0.0,90.0
floor_u,4050000.0,1.75,3.75
floor_ct,4050000.0,130.0,400.0
roof_u,4050000.0,0.3,4.74
roof_ct,4050000.0,0.15,450.0
roof_absorptance,4050000.0,0.0,0.98
extwall_u,4050000.0,-6.0,5.0
extwall_ct,4050000.0,-400.0,450.0
extwall_absorptance,4050000.0,0.0,0.98
intwall_u,4050000.0,0.31,5.0
intwall_ct,4050000.0,25.0,400.0
shgc_jan,4050000.0,0.0,0.9
u_jan,4050000.0,0.0,6.0
shgc_zen,4050000.0,0.0,0.9
u_zen,4050000.0,0.0,6.0
people,4050000.0,0.03,1.0
lights,4050000.0,3.0,40.0
equip,4050000.0,3.0,60.0
paz,4050000.0,0.0,5.0
lat,4050000.0,-33.74,3.81
alt,4050000.0,0.0,1811.5
dbt_mean,4050000.0,10.84,29.07
dbt_25p,4050000.0,8.72,26.97
dbt_75p,4050000.0,12.84,32.53
ws_mean,4050000.0,0.0,7.37
ws_25p,4050000.0,0.0,5.39
ws_75p,4050000.0,0.0,9.71
ghr_mean,4050000.0,3635.9,6160.66
ghr_25p,4050000.0,2371.9,5724.65
ghr_75p,4050000.0,4668.31,7179.08
dpt_mean,4050000.0,1.71,24.7
dpt_25p,4050000.0,-3.52,24.18
dpt_75p,4050000.0,6.05,25.33
sur_angle,4050000.0,0.0,84.28
shd_angle,4050000.0,0.0,89.46
schedule_SCH_10H,4050000.0,0.0,1.0
schedule_SCH_12H,4050000.0,0.0,1.0
schedule_SCH_16H,4050000.0,0.0,1.0
schedule_SCH_24H,4050000.0,0.0,1.0
schedule_SCH_8H,4050000.0,0.0,1.0
is_1pvto_0,4050000.0,0.0,1.0
is_1pvto_1,4050000.0,0.0,1.0
floor_exp_0,4050000.0,0.0,1.0
floor_exp_1,4050000.0,0.0,1.0
roof_exp_0,4050000.0,0.0,1.0
roof_exp_1,4050000.0,0.0,1.0
apt_near_0,4050000.0,0.0,1.0
apt_near_1,4050000.0,0.0,1.0
is_perimetral_0,4050000.0,0.0,1.0
is_perimetral_1,4050000.0,0.0,1.0
app_ori_-360,4050000.0,0.0,1.0
app_ori_0,4050000.0,0.0,1.0
app_ori_45,4050000.0,0.0,1.0
app_ori_90,4050000.0,0.0,1.0
app_ori_135,4050000.0,0.0,1.0
app_ori_180,4050000.0,0.0,1.0
app_ori_225,4050000.0,0.0,1.0
app_ori_270,4050000.0,0.0,1.0
app_ori_315,4050000.0,0.0,1.0
