file,lat,alt,dbt_mean,dbt_25p,dbt_75p,ws_mean,ws_25p,ws_75p,ghr_mean,ghr_25p,ghr_75p,dpt_mean,dpt_25p,dpt_75p
BRA_AC_Cruzeiro.do.Sul.Intl.AP.827040_TMYx.2004-2018.epw,-7.6,194.2,25.92083333,23.15666667,28.5875,0.981666667,0.1,1.651666667,4893.828333,4205.166667,5699.125,23.2475,22.43,24.31
BRA_AC_Cruzeiro.do.Sul.Intl.AP.827040_TMYx.2007-2021.epw,-7.6,194.2,25.81333333,23.22166667,28.5,1.121666667,0.258333333,1.746666667,4746.156667,4239.166667,5442.1875,23.20166667,22.31666667,24.4
BRA_AC_Epitaciolandia.866200_TMYx.2007-2021.epw,-11.02,218.5,24.9075,22.04,27.8925,1.05,0.5,1.503333333,4945.990833,4321.9375,5743.3125,20.865,19.76833333,22.16916667
BRA_AC_Feijo.AP.819240_INMET.epw,-8.14,163,26.07916667,23.87833333,28.30166667,1.273333333,0.483333333,1.81,4557.924167,3993.895833,5352.083333,22.31166667,21.43333333,23.45
BRA_AC_Feijo.AP.819240_TMYx.2007-2021.epw,-8.14,164.5,25.37,22.73333333,28.06666667,1.410833333,0.756666667,1.876666667,4876.494167,4227.270833,5643.4375,22.0275,21.19,23.07666667
BRA_AC_Parque.Chandless.819630_INMET.epw,-9.37,206,24.86833333,22.38333333,27.30083333,0.399166667,0,0.6775,3841.901667,3276.375,4554.9375,22.21916667,21.41666667,23.24166667
BRA_AC_Parque.Estadual.Chandless.819630_TMYx.2007-2021.epw,-9.37,207.5,25.08416667,22.49833333,27.65,0.986666667,0.441666667,1.416666667,4828.425833,4253.270833,5560.604167,21.905,20.73333333,23.05833333
BRA_AC_Porto.Walter.819210_INMET.epw,-8.27,240,26.36666667,24.11666667,28.60333333,1.239166667,0.425,1.775,4711.258333,4051.833333,5490.0625,22.21,21.51666667,23.27666667
BRA_AC_Porto.Walter.819210_TMYx.2007-2021.epw,-8.27,205.5,25.85166667,23.39166667,28.24833333,1.429166667,0.85,1.885,4828.584167,4246.833333,5606.8125,22.47166667,21.69833333,23.38333333
BRA_AC_Rio.Branco-Medici.Intl.AP.829170_TMYx.2004-2018.epw,-9.87,193.2,25.515,22.67083333,28.41666667,1.385,0.125,2.125,5134.0375,4478.020833,5921.229167,21.70916667,20.695,23.06833333
BRA_AC_Rio.Branco-Medici.Intl.AP.829170_TMYx.2007-2021.epw,-9.87,193.2,25.57916667,22.91666667,28.35,1.473333333,0.291666667,2.185,4868.960833,4222.666667,5646.5,22.215,21.39,23.29166667
BRA_AC_Rio.Branco.829150_INMET.epw,-9.96,220,25.11083333,22.7,27.46333333,1.430833333,0.425,2.12,4468.641667,3831.875,5313.145833,21.84,20.50666667,23.12
BRA_AC_Tarauaca.828070_TMYx.2004-2018.epw,-8.17,190,24.40333333,21.31333333,27.58166667,0.526666667,0.016666667,0.91,4955.659167,4230.6875,5808.583333,22.15416667,20.67166667,23.90166667
BRA_AC_Tarauaca.AP.828080_TMYx.2004-2018.epw,-8.15,196.9,24.59666667,21.415,27.94833333,0.6425,0.008333333,1.093333333,5034.350833,4341.25,5840.666667,22.3375,20.89666667,24.03333333
BRA_AC_Tarauaca.AP.828080_TMYx.2007-2021.epw,-8.15,196.9,25.67583333,23.02166667,28.32083333,1.5625,0.908333333,2.083333333,4762.229167,4170.520833,5523.041667,22.66,21.825,23.675
BRA_AL_Arapiraca.AP.819960_INMET.epw,-9.8,241,24.84916667,22.30666667,27.41666667,2.795,1.431666667,4.051666667,5297.384167,4693.208333,5989,20.46166667,19.82916667,21.36166667
BRA_AL_Arapiraca.AP.819960_TMYx.2007-2021.epw,-9.8,242.5,25.17166667,22.64166667,27.685,2.550833333,1.408333333,3.67,5189.074167,4724.958333,5700.0625,18.70416667,17.56333333,20.035
BRA_AL_Coruripe.866190_INMET.epw,-10.13,74,25.72583333,23.75,27.83333333,2.215,1.2875,3.083333333,5352.479167,4890.541667,6026.479167,21.67416667,21.14166667,22.335
BRA_AL_Coruripe.866190_TMYx.2007-2021.epw,-10.13,75.5,26.04833333,24.2,28.00416667,2.506666667,1.520833333,3.451666667,5534.87,5206.791667,6012.875,21.25083333,20.62166667,22.01833333
BRA_AL_Maceio-Palmares.Intl.AP.829930_TMYx.2004-2018.epw,-9.51,118,25.05666667,22.73333333,27.43916667,3.071666667,1.475,4.583333333,5815.429167,5194.125,6578.6875,21.57666667,20.94166667,22.33333333
BRA_AL_Maceio-Palmares.Intl.AP.829930_TMYx.2007-2021.epw,-9.51,118,25.0175,22.84,27.44333333,3.248333333,1.508333333,4.833333333,5333.661667,4955.4375,5832.270833,21.54083333,20.93333333,22.25
BRA_AL_Maceio.819980_TMYx.2007-2021.epw,-9.55,66,25.73333333,23.985,27.555,2.875833333,1.673333333,4.06,5422.515,5098.75,5907.979167,17.65166667,16.98333333,18.375
BRA_AL_Maceio.829940_INMET.epw,-9.67,64,25.52666667,23.44166667,27.67,2.744166667,1.35,4.043333333,5621.440833,5155.270833,6340.4375,21.3925,20.85833333,22.03333333
BRA_AL_Palmeira.dos.Indios.819950_TMYx.2007-2021.epw,-9.42,276.5,25.0425,22.49,27.495,2.1525,1.025,3.135,5222.9575,4720.791667,5790.333333,20.52666667,19.475,21.51666667
BRA_AL_Palmeira.dos.Indios.829920_INMET.epw,-9.41,275,25.285,22.66666667,27.91666667,2.684166667,1.6,3.71,5315.985,4735.833333,6116.645833,19.46666667,18.8,20.43333333
BRA_AL_Pao.de.Acucar.819940_INMET.epw,-9.75,19,27.28916667,24.33833333,30.22,1.825,0.555,2.876666667,5710.8925,5219.604167,6357.229167,20.40416667,19.46333333,21.59166667
BRA_AL_Pao.de.Acucar.819940_TMYx.2007-2021.epw,-9.75,20.5,27.24,24.155,30.14333333,2.214166667,0.991666667,3.276666667,5329.51,4710.1875,6011.5625,18.66166667,16.955,20.7
BRA_AL_Sao.Luis.do.Quitunde.819970_INMET.epw,-9.29,19,25.42583333,22.89833333,28.185,1.7025,0.691666667,2.691666667,4715.876667,4240.270833,5424.375,21.825,21.22333333,22.46833333
BRA_AL_Sao.Luis.do.Quitunde.819970_TMYx.2007-2021.epw,-9.28,20.5,25.39416667,23.04666667,27.9,2.223333333,1.133333333,3.391666667,5381.191667,5054.625,5828.395833,21.6775,20.93166667,22.35833333
BRA_AM_Apui.818930_TMYx.2007-2021.epw,-7.2,169.5,26.2525,23.64166667,28.60333333,1.195,0.706666667,1.6,4716.440833,4145.708333,5359.708333,22.01416667,21.16666667,23.10166667
BRA_AM_Autazes.817320_INMET.epw,-3.58,28,26.50083333,24.20833333,28.695,0.783333333,0.058333333,1.3,4217.533333,3624.645833,5096.291667,23.3025,22.775,23.90833333
BRA_AM_Autazes.817320_TMYx.2007-2021.epw,-3.58,29.5,27.16083333,24.94166667,29.19333333,0.2125,0.091666667,0.241666667,4697.916667,4051.583333,5423.645833,23.31083333,23.075,24.19166667
BRA_AM_Barcelos.AP.816480_INMET.epw,-0.99,17,26.27083333,23.82,28.68166667,0.9525,0.066666667,1.618333333,4665.5225,3922.375,5672.395833,23.28583333,22.675,23.885
BRA_AM_Barcelos.AP.816480_TMYx.2007-2021.epw,-0.98,18.5,26.64,24.84,28.00333333,1.425,0.991666667,1.808333333,4569.534167,3959.166667,5402.083333,24.12083333,23.54166667,24.685
BRA_AM_Benjamin.Constant.824100_TMYx.2007-2021.epw,-4.38,65,26.105,24.065,27.92333333,1.129166667,0.74,1.475,4425.014167,3731.416667,5153.541667,24.0725,23.31666667,24.75833333
BRA_AM_Boca.do.Acre.819270_TMYx.2007-2021.epw,-8.75,112.5,25.985,23.49166667,28.41,1.295833333,0.641666667,1.818333333,4850.676667,4148.4375,5576.833333,22.5025,21.80833333,23.46833333
BRA_AM_Coari.817700_INMET.epw,-4.1,43,26.24916667,24.075,28.22166667,1.199166667,0.366666667,1.85,4586.111667,3801.125,5609.8125,23.00916667,22.49166667,23.61666667
BRA_AM_Coari.817700_TMYx.2007-2021.epw,-4.1,44.5,27.13416667,25.29166667,28.72833333,1.256666667,0.65,1.758333333,4639.514167,4100.333333,5346.479167,24.22416667,23.625,24.76833333
BRA_AM_Codajas.823260_TMYx.2007-2021.epw,-3.83,49,26.47833333,24.75,27.845,1.224166667,0.823333333,1.583333333,4569.815833,4036.6875,5227.75,24.08,23.54166667,24.59166667
BRA_AM_Eirunepe.826100_TMYx.2004-2018.epw,-6.67,104,25.15416667,21.84833333,28.39666667,0.165,0,0.175,4845.124167,4236,5585.333333,23.1225,21.56666667,24.83333333
BRA_AM_Eirunepe.826100_TMYx.2007-2021.epw,-6.67,104,25.86916667,23.40666667,28.12833333,0.686666667,0,1.333333333,4700.789167,4059.604167,5433.354167,23.65166667,22.715,24.78333333
BRA_AM_Fonte.Boa.AP.822120_TMYx.2004-2018.epw,-2.53,56,25.0025,21.85,28.10166667,0.9125,0.408333333,1.218333333,5035.275,4363.145833,5814.145833,23.40166667,21.59166667,25.44333333
BRA_AM_Fonte.Boa.AP.822120_TMYx.2007-2021.epw,-2.53,56,26.5925,24.53333333,28.355,1.1125,0.725,1.458333333,4548.35,3946.416667,5238.895833,24.24166667,23.53333333,24.88333333
BRA_AM_Humaita.818900_TMYx.2007-2021.epw,-7.55,73.5,26.53083333,23.89833333,29.135,0.721666667,0.208333333,0.926666667,4744.945,4258.104167,5406.875,22.4825,21.80666667,23.3
BRA_AM_Humaita.AP.818900_INMET.epw,-7.55,72,26.28416667,23.69,28.96333333,1.261666667,0.133333333,2.01,4337.011667,3739.75,5116.020833,22.79083333,22.19166667,23.425
BRA_AM_Iauarete.AP.820670_TMYx.2004-2018.epw,0.61,105.2,25.1175,22.26166667,27.8325,0.464166667,0.041666667,0.591666667,4888.690833,4191.5625,5815.895833,22.74166667,21.63166667,24.32666667
BRA_AM_Iauarete.AP.820670_TMYx.2007-2021.epw,0.61,105.2,25.70666667,23.59166667,27.32666667,1.030833333,0.623333333,1.391666667,4489.989167,3931.958333,5136.958333,23.67833333,23.01666667,24.30333333
