file,month,dbt_mean
BRA_AC_Feijo.AP.819240_INMET.epw,1,25.53
BRA_AC_Feijo.AP.819240_INMET.epw,2,25.96
BRA_AC_Feijo.AP.819240_INMET.epw,3,25.97
BRA_AC_Feijo.AP.819240_INMET.epw,4,26.15
BRA_AC_Feijo.AP.819240_INMET.epw,5,25.06
BRA_AC_Feijo.AP.819240_INMET.epw,6,26.85
BRA_AC_Feijo.AP.819240_INMET.epw,7,24.98
BRA_AC_Feijo.AP.819240_INMET.epw,8,27.39
BRA_AC_Feijo.AP.819240_INMET.epw,9,27.49
BRA_AC_Feijo.AP.819240_INMET.epw,10,26.35
BRA_AC_Feijo.AP.819240_INMET.epw,11,26.05
BRA_AC_Feijo.AP.819240_INMET.epw,12,25.17
BRA_AC_Parque.Chandless.819630_INMET.epw,1,24.8
BRA_AC_Parque.Chandless.819630_INMET.epw,2,24.63
BRA_AC_Parque.Chandless.819630_INMET.epw,3,24.75
BRA_AC_Parque.Chandless.819630_INMET.epw,4,24.85
BRA_AC_Parque.Chandless.819630_INMET.epw,5,25.17
BRA_AC_Parque.Chandless.819630_INMET.epw,6,23.28
BRA_AC_Parque.Chandless.819630_INMET.epw,7,23.7
BRA_AC_Parque.Chandless.819630_INMET.epw,8,24.62
BRA_AC_Parque.Chandless.819630_INMET.epw,9,25.55
BRA_AC_Parque.Chandless.819630_INMET.epw,10,26.06
BRA_AC_Parque.Chandless.819630_INMET.epw,11,25.81
BRA_AC_Parque.Chandless.819630_INMET.epw,12,25.2
BRA_AC_Porto.Walter.819210_INMET.epw,1,25.93
BRA_AC_Porto.Walter.819210_INMET.epw,2,25.95
BRA_AC_Porto.Walter.819210_INMET.epw,3,25.83
BRA_AC_Porto.Walter.819210_INMET.epw,4,26.24
BRA_AC_Porto.Walter.819210_INMET.epw,5,25.43
BRA_AC_Porto.Walter.819210_INMET.epw,6,26.84
BRA_AC_Porto.Walter.819210_INMET.epw,7,24.98
BRA_AC_Porto.Walter.819210_INMET.epw,8,27.39
BRA_AC_Porto.Walter.819210_INMET.epw,9,28.48
BRA_AC_Porto.Walter.819210_INMET.epw,10,27.31
BRA_AC_Porto.Walter.819210_INMET.epw,11,26.48
BRA_AC_Porto.Walter.819210_INMET.epw,12,25.54
